,NDB_No,Shrt_Desc,popularity,Protein_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(mcg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(mcg),Choline_Tot_ (mg),Vit_B12_(mcg),Vit_A_RAE,Vit_E_(mg),Vit_D_mcg,Vit_K_(mcg),macro,groupname,micro
3013,35022,"CARIBOU,EYE,RAW (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3014,35023,"CARIBOU,LIVER,RAW (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3015,35024,"STEW/SOUP,CARIBOU (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3016,35025,"CARIBOU,TONGUE,RAW (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3017,35026,"CHITON,LEATHERY,GUMBOOTS (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3018,35027,"CLOUDBERRIES,RAW (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3019,35028,"COCKLES,RAW (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3020,35029,"CRANBERRIES,WILD,BUSH,RAW (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3021,35030,"CRANBERRY,LO BUSH OR LINGENBERRY,RAW (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3022,35034,"FISH,DEVILFISH,MEAT (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3023,35038,"FIREWEED,YOUNG LEAVES,RAW (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3024,35039,"FISH,HERRING EGGS ON GIANT KELP,PACIFIC (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
3025,35040,"FISH,HERRING EGGS,PACIFIC,DRY (ALASKA NATIVE)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,IndigenousFoods,IndigenousFoods0
